name,address,services,status
"Legal Name: 2294235 ONTARIO INC.,  Operating Name: GLOBAL CURRENCY EXCHANGE","5743 VICTORIA AVE,NIAGARA FALLS,ONTARIO,CANADA,L2G 3L6",Foreign Exchange,Registered
"Legal Name: CAN-EAST SOLUTIONS INC.,  Operating Name: CHOICE REMIT","235 DIXON RD UNIT 18,TORONTO,ONTARIO,CANADA,M9P2M5","Foreign Exchange, Money Transferring",Registered
"Legal Name: AGRINATURAL CANADA INC.,  Operating Name: MESGHAL EXCHANGE","6121 YONGE STREET,TORONTO,ONTARIO,CANADA,M2M3W2","Foreign Exchange, Money Transferring",Registered
"Legal Name: 1630497 ALBERTA INC,  Operating Name: DOLLAR LINKS","119 DUNDAS STREET EAST,MISSISSAUGA,ONTARIO,CANADA,L5A1W7","Foreign Exchange, Money Transferring",Registered
"Legal Name: QUESTRADE, INC.,  Operating Name: QUESTRADE, INC.","5700 YONGE ST., SUITE 1900,TORONTO,ONTARIO,CANADA,M2M4K2","Foreign Exchange, Money Transferring, Virtual Currency",Registered
"Legal Name: 1718590 ONTARIO INC.,  Operating Name: ULTIMATE CURRENCY EXCHANGE","2573 CARLING AVE.,OTTAWA,ONTARIO,CANADA,K2B7H7","Foreign Exchange, Issuing and Redeeming Money Orders",Registered
"Legal Name: JUBA EXPRESS INC,  Operating Name: JUBA EXPRESS INC","2100 LAWRENCE AVE W, SUITE 202B,TORONTO,ONTARIO,CANADA,M9N3W3","Foreign Exchange, Money Transferring, PSP",Registered
"Legal Name: TSX FX INC.,  Operating Name: TSX FX INC.","301-100 ADELAIDE ST. WEST,TORONTO,ONTARIO,CANADA,M5H1S3",Foreign Exchange,Registered
"Legal Name: PERSICA CURRENCY EXCHANGE INC. ,  Operating Name: PERSICA CURRENCY EXCHANGE INC.","UNIT 4, 6125 YONGE ST.,NORTH YORK,ONTARIO,CANADA,M2M3W8","Foreign Exchange, Money Transferring",Registered
"Legal Name: 2303257 ONTARIO LTD.,  Operating Name: WORLD HALABGA CURRENCY EXCHANGE","1747 ALBION ROAD UNIT #3,ETOBICOKE,ONTARIO,CANADA,M9V1C3","Foreign Exchange, Money Transferring",Registered
"Legal Name: 2399701 ONTARIO INC.,  Operating Name: AURORA MONEY EXCHANGE","15207 YONGE STREET,AURORA,ONTARIO,CANADA,L4G 1L8","Foreign Exchange, Money Transferring",Registered
"Legal Name: MERCURY MERCANTILE TECHNOLOGIES INC.,  Operating Name: QICSEND","56 TEMPERANCE ST,TORONTO,ONTARIO,CANADA,M5H3V5","Foreign Exchange, Money Transferring",Registered
"Legal Name: SARIFLE INC.,  Operating Name: TAAJ SERVICES","2083 LAWRENCE AVE WEST SUITE 202 ,TORONTO,ONTARIO,CANADA,M9N1H7","Foreign Exchange, Money Transferring",Registered
"Legal Name: SIDHU GROUP VENTURE LTD. ,  Operating Name: GURU TRADERS","1-2120 NORTH PARK DR,BRAMPTON,ONTARIO,CANADA,L6S0C9",Foreign Exchange,Registered
"Legal Name: FP ICE INC.,  Operating Name: FP ICE INC.","171 MARYCROFT AVE. UNIT 2,WOODBRIDGE,ONTARIO,CANADA,L4L 5Y3","Foreign Exchange, Money Transferring",Registered
"Legal Name: KIMYANA INC.,  Operating Name: KIMYANA INC.","# 222 7181 YONGE ST.,MARKHAM,ONTARIO,CANADA,L3T0C7",Foreign Exchange,Registered
"Legal Name: TOMATO PAY INC.,  Operating Name: TOMATO PAY INC.","403-3950 14TH AVE,MARKHAM,ONTARIO,CANADA,L3R0A9",Foreign Exchange,Registered
"Legal Name: MIGAHID & ELSAWI CO. LTD.,  Operating Name: ELSAWI EXCHANGE","234 PARLIAMENT ST,TORONTO,ONTARIO,CANADA,M5A3A4","Foreign Exchange, Money Transferring",Registered
